Johto Dex #,National Dex #,Name,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Total
1,152,Chikorita,Grass,,45,49,65,49,65,45,318
2,153,Bayleef,Grass,,60,62,80,63,80,60,405
3,154,Meganium,Grass,,80,82,100,83,100,80,525
4,155,Cyndaquil,Fire,,39,52,43,60,50,65,309
5,156,Quilava,Fire,,58,64,58,80,65,80,405
6,157,Typhlosion,Fire,,78,84,78,109,85,100,534
7,158,Totodile,Water,,50,65,64,44,48,43,314
8,159,Croconaw,Water,,65,80,80,59,63,58,405
9,160,Feraligatr,Water,,85,105,100,79,83,78,530
10,16,Pidgey,Normal,Flying,40,45,40,35,35,56,251
11,17,Pidgeotto,Normal,Flying,63,60,55,50,50,71,349
12,18,Pidgeot,Normal,Flying,83,80,75,70,70,101,479
13,21,Spearow,Normal,Flying,40,60,30,31,31,70,262
14,22,Fearow,Normal,Flying,65,90,65,61,61,100,442
15,163,Hoothoot,Normal,Flying,60,30,30,36,56,50,262
16,164,Noctowl,Normal,Flying,100,50,50,86,96,70,452
17,19,Rattata,Normal,,30,56,35,25,35,72,253
18,20,Raticate,Normal,,55,81,60,50,70,97,413
19,161,Sentret,Normal,,35,46,34,35,45,20,215
20,162,Furret,Normal,,85,76,64,45,55,90,415
21,172,Pichu,Electric,,20,40,15,35,35,60,205
22,25,Pikachu,Electric,,35,55,40,50,50,90,320
23,26,Raichu,Electric,,60,90,55,90,80,110,485
24,10,Caterpie,Bug,,45,30,35,20,20,45,195
25,11,Metapod,Bug,,50,20,55,25,25,30,205
26,12,Butterfree,Bug,Flying,60,45,50,90,80,70,395
27,13,Weedle,Bug,Poison,40,35,30,20,20,50,195
28,14,Kakuna,Bug,Poison,45,25,50,25,25,35,205
29,15,Beedrill,Bug,Poison,65,90,40,45,80,75,395
30,165,Ledyba,Bug,Flying,40,20,30,40,80,55,265
31,166,Ledian,Bug,Flying,55,35,50,55,110,85,390
32,167,Spinarak,Bug,Poison,40,60,40,40,40,30,250
33,168,Ariados,Bug,Poison,70,90,70,60,60,40,390
34,74,Geodude,Rock,Ground,40,80,100,30,30,20,300
35,75,Graveler,Rock,Ground,55,95,115,45,45,35,390
36,76,Golem,Rock,Ground,80,120,130,55,65,45,495
37,41,Zubat,Poison,Flying,40,45,35,30,40,55,245
38,42,Golbat,Poison,Flying,75,80,70,65,75,90,455
39,169,Crobat,Poison,Flying,85,90,80,70,80,130,535
40,173,Cleffa,Normal,,50,25,28,45,55,15,218
41,35,Clefairy,Normal,,70,45,48,60,65,35,323
42,36,Clefable,Normal,,95,70,73,95,90,60,483
43,174,Igglybuff,Normal,,90,30,15,40,20,15,210
44,39,Jigglypuff,Normal,,115,45,20,45,25,20,270
45,40,Wigglytuff,Normal,,140,70,45,85,50,45,435
46,175,Togepi,Normal,,35,20,65,40,65,20,245
47,176,Togetic,Normal,Flying,55,40,85,80,105,40,405
48,27,Sandshrew,Ground,,50,75,85,20,30,40,300
49,28,Sandslash,Ground,,75,100,110,45,55,65,450
50,23,Ekans,Poison,,35,60,44,40,54,55,288
51,24,Arbok,Poison,,60,95,69,65,79,80,448
52,206,Dunsparce,Normal,,100,70,70,65,65,45,415
53,179,Mareep,Electric,,55,40,40,65,45,35,280
54,180,Flaaffy,Electric,,70,55,55,80,60,45,365
55,181,Ampharos,Electric,,90,75,85,115,90,55,510
56,194,Wooper,Water,Ground,55,45,45,25,25,15,210
57,195,Quagsire,Water,Ground,95,85,85,65,65,35,430
58,92,Gastly,Ghost,Poison,30,35,30,100,35,80,310
59,93,Haunter,Ghost,Poison,45,50,45,115,55,95,405
60,94,Gengar,Ghost,Poison,60,65,60,130,75,110,500
61,201,Unown,Psychic,,48,72,48,72,48,48,336
62,95,Onix,Rock,Ground,35,45,160,30,45,70,385
63,208,Steelix,Steel,Ground,75,85,200,55,65,30,510
64,69,Bellsprout,Grass,Poison,50,75,35,70,30,40,300
65,70,Weepinbell,Grass,Poison,65,90,50,85,45,55,390
66,71,Victreebel,Grass,Poison,80,105,65,100,70,70,490
67,187,Hoppip,Grass,Flying,35,35,40,35,55,50,250
68,188,Skiploom,Grass,Flying,55,45,50,45,65,80,340
69,189,Jumpluff,Grass,Flying,75,55,70,55,95,110,460
70,46,Paras,Bug,Grass,35,70,55,45,55,25,285
71,47,Parasect,Bug,Grass,60,95,80,60,80,30,405
72,60,Poliwag,Water,,40,50,40,40,40,90,300
73,61,Poliwhirl,Water,,65,65,65,50,50,90,385
74,62,Poliwrath,Water,Fighting,90,95,95,70,90,70,510
75,186,Politoed,Water,,90,75,75,90,100,70,500
76,129,Magikarp,Water,,20,10,55,15,20,80,200
77,130,Gyarados,Water,Flying,95,125,79,60,100,81,540
78,118,Goldeen,Water,,45,67,60,35,50,63,320
79,119,Seaking,Water,,80,92,65,65,80,68,450
80,79,Slowpoke,Water,Psychic,90,65,65,40,40,15,315
81,80,Slowbro,Water,Psychic,95,75,110,100,80,30,490
82,199,Slowking,Water,Psychic,95,75,80,100,110,30,490
83,43,Oddish,Grass,Poison,45,50,55,75,65,30,320
84,44,Gloom,Grass,Poison,60,65,70,85,75,40,395
85,45,Vileplume,Grass,Poison,75,80,85,110,90,50,490
86,182,Bellossom,Grass,,75,80,95,90,100,50,490
87,96,Drowzee,Psychic,,60,48,45,43,90,42,328
88,97,Hypno,Psychic,,85,73,70,73,115,67,483
